aflow_prototype_params_list_relax,aflow_prototype_params_values_relax,auid,aurl,composition,compound,density,energy_atom,enthalpy_atom,natoms,spin_atom
"a,x4","10.249,0.830762",aflow:4dc4576f6ea86fac,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/O7Tb2Ti2_ICSD_151747,"14,4,4",O14Tb4Ti4,6.48621,-8.27691,-8.27691,22,0
"a,x4","10.4743,0.824495",aflow:4ddd3fc4b2a6ef79,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Bi2O7Ti2_ICSD_161100,"4,14,4",Bi4O14Ti4,7.23387,-7.03908,-7.03908,22,0
"a,x3,x4","13.0169,0.276986,0.224936",aflow:4e06c5bc5f484ac8,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C4Hg1K2N4_ICSD_62084,"8,2,4,8",C8Hg2K4N8,2.30595,-6.57611,-6.57611,22,0
"a,x4","10.7802,0.438202",aflow:4f689ce2ad31aa19,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/O7Sn2Ta2_ICSD_163818,"14,4,4",O14Sn4Ta4,7.54211,-7.908,-7.908,22,0
"a,x4","10.3863,0.359865",aflow:5032318cfec8a5e0,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ca2O7Sb2_ICSD_24245,"4,14,4",Ca4O14Sb4,5.16532,-5.97806,-5.97806,22,0
"a,x4","10.3427,0.427982",aflow:50ddac208526fffa,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Cd2O7Os2_ICSD_155772,"4,14,4",Cd4O14Os4,8.61175,-5.83499,-5.83499,22,0.544937
"a,x4","10.879,0.818806",aflow:51714392649712d1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/F6Hg2Ni2S1_ICSD_4083,"12,4,4,2",F12Hg4Ni4S2,6.85715,-3.61456,-3.61456,22,0.363684
"a,x4","10.2594,0.413115",aflow:51ea47843e461e60,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ir2O7Y2_ICSD_187534,"4,14,4",Ir4O14Y4,8.29467,-7.54565,-7.54565,22,0.181673
"a,x4","10.8273,0.363008",aflow:518630d75dad5140,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/La2O7Zr2_ICSD_184096,"4,14,4",La4O14Zr4,5.98918,-8.53519,-8.53519,22,0
"a,x4","10.8848,0.416792",aflow:52ca4f34ce90ae48,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ce2O7Zr2_ICSD_168595,"4,14,4",Ce4O14Zr4,5.91964,-9.00724,-9.00724,22,0.18181
"a,x4","10.5611,0.817387",aflow:54ff4abcf9aa0a9e,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ca2O7Ta2_ICSD_27121,"4,14,4",Ca4O14Ta4,6.24837,-8.43551,-8.43551,22,0
"a,x4","10.6069,0.822847",aflow:5419805aeec1a922,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/La2O7Ti2_ICSD_164027,"4,14,4",La4O14Ti4,5.40576,-8.17553,-8.17553,22,0
"a,x4","10.6051,0.408212",aflow:542a24e530204c1a,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/O7Sn2Y2_ICSD_74706,"14,4,4",O14Sn4Y4,5.8716,-7.43095,-7.43095,22,0
"a,x4","10.2224,0.831543",aflow:55b9faf4733959de,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Dy2O7Ti2_ICSD_188553,"4,14,4",Dy4O14Ti4,6.62585,-8.27656,-8.27656,22,0
"a,x4","10.474,0.835734",aflow:56e85df50d5b92c2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Gd2Mo2O7_ICSD_159775,"4,4,14",Gd4Mo4O14,7.14918,-9.80201,-9.80201,22,1.06452
"a,x4","10.4531,0.817256",aflow:56b0c1126a7390fb,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Hg2O7Os2_ICSD_159794,"4,14,4",Hg4O14Os4,10.3928,-5.47961,-5.47961,22,0.530219
