Egap,Egap_type,ael_bulk_modulus_vrh,ael_debye_temperature,ael_poisson_ratio,ael_shear_modulus_vrh,ael_youngs_modulus_vrh,aflow_prototype_params_list_relax,aflow_prototype_params_values_relax,agl_debye,agl_thermal_conductivity_300K,agl_thermal_expansion_300K,auid,aurl,compound,spinD,spin_atom,valence_cell_iupac
3.7972,insulator-direct,155.689,498.354,0.276298,81.8649,208.968,"a,x4","10.9541,0.418577",512.047,5.3462,3.09565e-05,aflow:d146f4324e1aee9e,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/La2O7Zr2_ICSD_15165,La4O14Zr4,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,56
0.5591,insulator-indirect,187.339,541.614,0.29575,88.5913,229.584,"a,x4","10.2783,0.412604",546.998,4.75822,3.32709e-05,aflow:d3ff64cbbc976ffe,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/O7Ru2Y2_ICSD_73799,O14Ru4Y4,"0.054,0.066,0.07,0.07,0.072,0.059,0.07,0.07,0.066,0.054,0.072,0.059,-0.001,-0.001,1.709,1.719,1.709,1.699,0.03,0.03,0.03,0.029",0.36364,72
0.8073,insulator-indirect,190.011,624.615,0.285263,95.2391,244.815,"a,x4","10.1243,0.419498",625.851,6.22808,3.13195e-05,aflow:de4894bbdb4936cc,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/O7V2Y2_ICSD_160865,O14V4Y4,"-0.026,-0.027,-0.025,-0.025,-0.028,-0.029,-0.025,-0.025,-0.027,-0.026,-0.028,-0.029,0,0,1.044,1.039,1.034,1.039,0.004,0.004,0.005,0.004",0.18171,60
0.8794,insulator-direct,171.894,390.38,0.287836,84.9562,218.819,"a,x4","10.3103,0.834667",400.865,2.70535,4.2807e-05,aflow:e7d3935cbc89f8e8,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/O7Pt2Tl2_ICSD_22215,O14Pt4Tl4,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,64
0.555,insulator-indirect,191.189,474.893,0.295739,90.4173,234.315,"a,x4","10.2086,0.839527",482.938,4.33276,3.41074e-05,aflow:e93e8b4777a3b2a0,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Er2O7Ru2_ICSD_97533,Er4O14Ru4,"0.057,0.058,0.058,0.059,0.068,0.069,0.054,0.066,0.058,0.071,0.066,0.054,0.069,0.068,0.058,0.071,-0.001,-0.001,1.723,1.712,1.712,1.702",0.363641,72
0.1483,insulator-direct,176.817,433.638,0.328497,68.4787,181.947,"a,x4","10.5508,0.37383",436.106,3.66031,3.25078e-05,aflow:f1287d45c31c185a,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Gd2O7Zr2_ICSD_160158,Gd4O14Zr4,"7.021,7.019,7.021,7.023,-0.024,-0.025,-0.026,-0.026,-0.026,-0.024,-0.026,-0.026,-0.025,-0.024,-0.026,-0.024,-0.01,-0.01,-0.007,-0.007,-0.007,-0.007",1.27275,56
2.8475,insulator-direct,160.117,488.813,0.272254,85.9873,218.795,"a,x4","10.6767,0.838635",511.992,5.79357,3.07393e-05,aflow:f3e28f6e1c8493ab,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Gd2O7Zr2_ICSD_188035,Gd4O14Zr4,"7.008,7.009,7.008,7.008,-0.013,-0.013,-0.013,-0.013,-0.013,-0.013,-0.013,-0.013,-0.013,-0.013,-0.013,-0.013,-0.043,-0.043,-0.005,-0.005,-0.005,-0.004",1.27276,56
0,metal,172.622,397.336,0.320155,70.5491,186.271,"a,x4","10.3891,0.833532",404.959,2.65083,3.95615e-05,aflow:f66fc434b1966cc9,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Bi2O7Rh2_ICSD_161099,Bi4O14Rh4,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,72
0,half-metal,171.556,403.645,0.31662,71.6833,188.759,"a,x4","10.4993,0.830175",394.978,6.47422,2.56658e-05,aflow:fb5e653ad146f5aa,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Bi2O7Ru2_ICSD_163387,Bi4O14Ru4,"0.047,0.04,0.047,0.054,0.065,0.057,0.09,0.09,0.072,0.08,0.09,0.09,0.057,0.065,0.072,0.08,0.018,0.018,1.641,1.629,1.639,1.651",0.363623,80
1.2928,insulator-indirect_spin-polarized,185.906,501.298,0.273255,99.3199,252.919,"a,x4","10.2867,0.410086",514.094,5.35573,3.2543e-05,aflow:ff2f0f54ae83f57a,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Er2O7Tc2_ICSD_109081,Er4O14Tc4,"0.071,0.072,0.071,0.071,0.05,0.062,0.057,0.07,0.071,0.07,0.07,0.057,0.062,0.05,0.071,0.07,0.002,0.002,2.59,2.591,2.591,2.591",0.545477,68
