Composition,Sample A,Sample B,Oxidation State A,Oxidation State B,Thermal Conductivity (W/m/K),Lattice Parameter (Å),Vickers Hardness (GPa),CTE (K^-1),Relative Density %,Density Measured,Density Calculated,Energy per Atom,Formation Energy per Atom,Enthalpy,Activation Energy (eV),Magnetic Moment,Band Gap,Band Gap Type,Valence,Bulk Modulus (GPa),Shear Modulus (GPa),Youngs Modulus (GPa),Poisson Ratio,Fracture Toughness (Mpa*m^.5),Specific Heat (Jg^−1K^−1),Thermal Diffusivity  (mm² s⁻¹),High Temp CTE,AEL Debye Temperature,Temperature (K),Energy Above Hull,Ionic Radius A (Å),Ionic Radius B (Å),rA/rB (Å),Size disorder (δ %),Porosity (%),Grain Size (μm),Electronegativity A,Electronegativity B,Synthesis Method,compound_type,data_source
Nb2Sn2O7,Sn,Nb,2.0,5.0,7.65654,10.7485,,,,,5.72543,-7.50126,,-7.50126,,0.0,1.0459,insulator-indirect,64.0,142.967,97.4137,238.151,0.22237,,,,,556.831,,,,0.64,,,,,1.96,1.6,DFT,pristine,aflow
Ta2Sn2O7,Sn,Ta,2.0,5.0,,10.7609,,,,,7.58287,-7.931805000000001,,-7.931805000000001,,0.0,1.6256499999999998,insulator-indirect,64.0,,,,,,,,,,,,,0.64,,,,,1.96,1.5,DFT,pristine,aflow
Tb2Mo2O7,Tb,Mo,3.0,4.0,,10.406225,,,,,7.32925,-8.160495000000001,,-8.160495000000001,,0.363634,0.0,half-metal,68.0,,,,,,,,,,,,1.04,0.65,,,,,1.22,2.16,DFT,pristine,aflow
Tb2Ru2O7,Tb,Ru,3.0,4.0,,10.2931,,,,,7.69849,-7.36279,,-7.36279,,0.363626,0.5522,insulator-indirect,76.0,,,,,,,,,,,,1.04,0.62,,,,,1.22,2.2,DFT,pristine,aflow
Tb2Sn2O7,Tb,Sn,3.0,4.0,4.11772,10.614985714285714,,,,,7.41058,-7.11238857142857,,-7.11238857142857,,0.0,2.226185714285714,insulator-direct,60.0,161.139,86.2893,219.659,0.272806,,,,,466.444,,,1.04,0.69,,,,,1.22,1.96,DFT,pristine,aflow
Tb2Ti2O7,Tb,Ti,3.0,4.0,6.63451,10.251533333333334,,,,,6.481346666666667,-8.276925,,-8.276925,,0.0,3.29705,insulator-indirect,60.0,184.839,102.449,259.418,0.266086,,,,,562.653,,,1.04,0.605,,,,,1.22,1.54,DFT,pristine,aflow
Mn2Tl2O7,Tl,Mn,3.0,4.0,1.85878,10.090566666666668,,,,,8.153730000000001,-5.977430000000001,,-5.977430000000001,,0.545614,0.0,half-metal,68.0,155.878,73.5629,190.691,0.29611,,,,,431.912,,,0.98,0.53,,,,,1.62,1.55,DFT,pristine,aflow
Tl2Pt2O7,Tl,Pt,3.0,4.0,2.70535,10.3103,,,,,11.0409,-4.97798,,-4.97798,,0.0,0.8794,insulator-direct,64.0,171.894,84.9562,218.819,0.287836,,,,,390.38,,,0.98,0.625,,,,,1.62,2.28,DFT,pristine,aflow
Tl2Ru2O7,Tl,Ru,3.0,4.0,,10.38065,,,,,8.584735,-5.575565,,-5.575565,,0.36368449999999997,0.0,half-metal,72.0,,,,,,,,,,,,0.98,0.62,,,,,1.62,2.2,DFT,pristine,aflow
Tm2Sn2O7,Tm,Sn,3.0,4.0,,10.5066,,,,,7.87165,-7.30322,,-7.30322,,0.36364,1.7741,insulator-direct,60.0,,,,,,,,,,,,0.994,0.69,,,,,1.25,1.96,DFT,pristine,aflow
Y2Hf2O7,Y,Hf,3.0,4.0,6.43897,10.5256,,,,,7.36826,-9.69513,,-9.69513,,0.0,3.3362,insulator-indirect,56.0,169.083,95.3711,240.833,0.262609,,,,,495.957,,,1.019,0.71,,,,,1.22,1.3,DFT,pristine,aflow
Y2Mn2O7,Y,Mn,3.0,4.0,4.72584,10.05335,,,,,5.225435,-8.103265,,-8.103265,,0.5453954999999999,0.85655,insulator-indirect,68.0,175.067,103.964,260.355,0.252137,,,,,643.793,,,1.019,0.53,,,,,1.22,1.55,DFT,pristine,aflow
Y2Mo2O7,Y,Mo,3.0,4.0,,10.397,,,,,5.69347,-8.47719,,-8.47719,,0.363624,0.0,half-metal,64.0,,,,,,,,,,,,1.019,0.65,,,,,1.22,2.16,DFT,pristine,aflow
Y2Ru2O7,Y,Ru,3.0,4.0,4.75822,10.27845,,,,,6.018345,-7.6835249999999995,,-7.6835249999999995,,0.3636395,0.5597000000000001,insulator-indirect,72.0,187.339,88.5913,229.584,0.29575,,,,,541.614,,,1.019,0.62,,,,,1.22,2.2,DFT,pristine,aflow
