Composition,Sample A,Sample B,a_stoich_json,b_stoich_json,Lattice Parameter (Å),Thermal Conductivity (W/m/K),Vickers Hardness (GPa),CTE (K^-1),Relative Density %,Density Measured,Density Calculated,Bulk Modulus (GPa),Shear Modulus (GPa),Youngs Modulus (GPa),Poisson Ratio,Fracture Toughness (Mpa*m^.5),Specific Heat (Jg^−1K^−1),Thermal Diffusivity  (mm² s⁻¹),High Temp CTE,Temperature (K),Ionic Radius A (Å),Ionic Radius B (Å),oxygen_param_x,rA/rB (Å),Size disorder (δ %),Porosity (%),Grain Size (μm),compound_type,data_source
CaYNb2O7,"Ca,Y",Nb,"{""Ca"": 0.5, ""Y"": 0.5}","{""Nb"": 1.0}",10.3155,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Sc0.2Mn2Tl1.8O7,"Sc,Tl",Mn,"{""Tl"": 0.9, ""Sc"": 0.1}","{""Mn"": 1.0}",9.869,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Ce0.1Nd2Zr1.9O7,Nd,"Ce,Zr","{""Nd"": 1.0}","{""Zr"": 0.95, ""Ce"": 0.05}",10.687,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Ce0.2Nd2Zr1.8O7,Nd,"Ce,Zr","{""Nd"": 1.0}","{""Zr"": 0.9, ""Ce"": 0.1}",10.7,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Ce0.2Nd2Zr1.8O7,Nd,"Ce,Zr","{""Nd"": 1.0}","{""Zr"": 0.9, ""Ce"": 0.1}",10.7,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Ce0.4Nd2Zr1.6O7,Nd,"Ce,Zr","{""Nd"": 1.0}","{""Zr"": 0.8, ""Ce"": 0.2}",10.728,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Ce0.4Nd2Zr1.6O7,Nd,"Ce,Zr","{""Nd"": 1.0}","{""Zr"": 0.8, ""Ce"": 0.2}",10.728,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Y2Zr1.2Ti0.8O7,Y,"Ti,Zr","{""Y"": 1.0}","{""Zr"": 0.6, ""Ti"": 0.4}",10.291,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Nd1.8Ru2Pb0.2O6.962,"Nd,Pb",Ru,"{""Nd"": 0.9, ""Pb"": 0.1}","{""Ru"": 1.0}",10.33705,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Gd1.8Ru2Pb0.2O6.962,"Gd,Pb",Ru,"{""Gd"": 0.9, ""Pb"": 0.1}","{""Ru"": 1.0}",10.2302,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Y2Zr0.6Ti1.4O7,Y,"Ti,Zr","{""Y"": 1.0}","{""Zr"": 0.3, ""Ti"": 0.7}",10.1901,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Y2Zr0.9Ti1.1O7,Y,"Ti,Zr","{""Y"": 1.0}","{""Zr"": 0.45, ""Ti"": 0.55}",10.2437,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Y2Zr1.2Ti0.8O6.99,Y,"Ti,Zr","{""Y"": 1.0}","{""Zr"": 0.6, ""Ti"": 0.4}",10.281,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Y0.6Sn2Bi1.4O7,"Bi,Y",Sn,"{""Bi"": 0.7, ""Y"": 0.3}","{""Sn"": 1.0}",10.4816,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Y0.8Sn2Bi1.2O7,"Bi,Y",Sn,"{""Bi"": 0.6, ""Y"": 0.4}","{""Sn"": 1.0}",10.4142,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
Y0.8Sn2Bi1.2O7,"Bi,Y",Sn,"{""Bi"": 0.6, ""Y"": 0.4}","{""Sn"": 1.0}",10.4,,,,,,,,,,,,,,,,,,,,,,,high_entropy,icsd_literature
