Composition,Sample A,Sample B,Thermal Conductivity (W/m/K),Lattice Parameter (Angstrom),Density,Energy per Atom,Formation Energy per Atom,Enthalpy,Magnetic Moment,Band Gap,Band Gap Type,Valence,Bulk Modulus (VRH),Shear Modulus (VRH),Youngs Modulus (VRH),Poisson Ratio,AEL Debye Temperature,Temperature,Thermal Expansion,Energy Above Hull,Ionic Radius A (Angstrom),Ionic Radius B (Angstrom),Electronegativity A,Electronegativity B,Synthesis Method,compound_type,data_source
Pr2Zr2O7,,,,10.733113454545451,,,-3.829410627575757,,,,,,,,,,,,,,1.126,0.72,1.13,1.33,,,
Rh2Pb2O7,,,,10.105662,,,,,,,,,,,,,,,,,,0.775,2.28,2.33,,,
Sc2Mn2O7,,,,9.654044333333331,,,-2.805036003260187,,,,,,,,,,,,,,0.87,0.53,1.36,1.55,,,
Sc2Pt2O7,,,,9.882197,,,-2.355756619090907,,,,,,,,,,,,,,0.87,0.625,1.36,2.28,,,
Sm2.096Hf1.904O6.952,,,,10.568591714285716,,,-3.9977812672727273,,,,,,,,,,,,,,1.079,0.71,1.17,1.3,,,
Sm2Mn2O7,,,,10.055748,,,-2.817081405987458,,,,,,,,,,,,,,1.079,0.53,1.17,1.55,,,
Sm2Mo2O7,,,,10.421931,,,-2.7004962661363683,,,,,,,,,,,,,,1.079,0.65,1.17,2.16,,,
Sm2Pt2O7,,,,10.343399,,,-2.3927093822727272,,,,,,,,,,,,,,1.079,0.625,1.17,2.28,,,
Sm2Ru2O7,,,,10.278849999999998,,,,,,,,,,,,,,,,,1.079,0.62,1.17,2.2,,,
Sm2Sn2O7,,,,10.51863825,,,-2.999128691818181,,,,,,,,,,,,,,1.079,0.69,1.17,1.96,,,
Sm2Tc2O7,,,,10.358993,,,-2.778559838181817,,,,,,,,,,,,,,1.079,0.645,1.17,1.9,,,
Sm2Ti2O7,,,,10.228761666666667,,,-3.725298062424243,,,,,,,,,,,,,,1.079,0.605,1.17,1.54,,,
Sm2Zr2O7,,,,10.5933307,,,-3.85569428090909,,,,,,,,,0.271,,,,,1.079,0.72,1.17,1.33,,,
Ta2Sn2O7,,,,10.48,,,,,,,,,,,,,,,,,,0.68,1.96,1.5,,,
Tb2Hf2O7,,,,10.4716,,,,,,,,,,,,,,,,,1.04,0.71,1.22,1.3,,,
Tb2Mn2O7,,,,9.928785,,,-2.882692812199581,,,,,,,,,,,,,,1.04,0.53,1.22,1.55,,,
Tb2Mo2O7,,,,10.2676155,,,-2.910913877121213,,,,,,,,,,,,,,1.04,0.65,1.22,2.16,,,
Tb2Pb2O7,,,,10.690444,,,-2.550893196212119,,,,,,,,,,,,,,1.04,0.775,1.22,2.33,,,
Tb2Pt2O7,,,,10.221361,,,-2.449571400757576,,,,,,,,,,,,,,1.04,0.625,1.22,2.28,,,
Tb2Ru2O7,,,,10.2252,,,,,,,,,,,,,,,,,1.04,0.62,1.22,2.2,,,
Tb2Sn2O7,,,4.11772,10.4415863125,,,-3.026676199848483,,,,,,161.139,86.2893,219.659,0.269903,,,,,1.04,0.69,1.22,1.96,,,
Tb2Ti2O7,,,6.63451,10.126762647058824,,,-3.775055662045519,,,,,,184.839,102.449,259.418,0.266086,,,,,1.04,0.605,1.22,1.54,,,
Tb2Zr2O7,,,,10.61542,,,-3.868283384393939,,,,,,,,,,,,,,1.04,0.72,1.22,1.33,,,
Tl2Ir2O7,,,,10.18258,,,,,,,,,,,,,,,,,0.98,0.625,1.62,2.2,,,
Mn2Tl2O7,,,1.85878,9.979705142857142,,,-1.493021963411704,,,,,,155.878,73.5629,190.691,0.29611,,,,,0.98,0.53,1.62,1.55,,,
Tl2Pb2O7,,,,10.874072,,,-1.137451543333333,,,,,,,,,,,,,,0.98,0.775,1.62,2.33,,,
Tl2Pt2O7,,,2.70535,10.215864333333334,,,-1.149196037878786,,,,,,171.894,84.9562,218.819,0.2884179999999999,,,,,0.98,0.625,1.62,2.28,,,
Tl2Ru2O6.96,,,,10.1947,,,,,,,,,,,,,,,,,0.98,0.62,1.62,2.2,,,
Tm2Ir2O7,,,,10.135,,,,,,,,,,,,,,,,,0.994,0.625,1.25,2.2,,,
Tm2Mn2O7,,,,9.800767,,,-2.92900769007837,,,,,,,,,,,,,,0.994,0.53,1.25,1.55,,,
Tm2Pb2O7,,,,10.68562,,,-2.546940055,,,,,,,,,,,,,,0.994,0.775,1.25,2.33,,,
Tm2Pt2O7,,,,10.090605,,,-2.489978588181823,,,,,,,,,,,,,,0.994,0.625,1.25,2.28,,,
Tm2Ru2O7,,,,10.096,,,,,,,,,,,,,,,,,0.994,0.62,1.25,2.2,,,
Tm2Sn2O7,,,,10.280168285714286,,,-3.032940869545466,,,,,,,,,,,,,,0.994,0.69,1.25,1.96,,,
Tm2Ti2O7,,,,10.07177,,,-3.7852587137878793,,,,,,,,,,,,,,0.994,0.605,1.25,1.54,,,
Tm2Zr2O7,,,,10.505814,,,-3.858373712727274,,,,,,,,,,,,,,0.994,0.72,1.25,1.33,,,
Y2Hf2O7,,,6.43897,10.477444,,,-3.989558998636363,,,,,,169.083,95.3711,240.833,0.2628045,,,,,1.019,0.71,1.22,1.3,,,
Y2Ir2O7,,,,10.174033333333334,,,,,,,,,,,,,,,,,1.019,0.625,1.22,2.2,,,
Y2Mn2O7,,,4.72584,9.955436166666669,,,-2.8683690523510963,,,,,,175.067,103.964,260.355,0.252137,,,,,1.019,0.53,1.22,1.55,,,
Y2Mo2O7,,,,10.35016,,,-2.9249034127272733,,,,,,,,,,,,,,1.019,0.65,1.22,2.16,,,
Y2Pb2O7,,,,10.672173,,,-2.52819351772727,,,,,,,,,0.283,,,,,1.019,0.775,1.22,2.33,,,
Y2Pt2O7,,,,10.195218,,,-2.432750706363636,,,,,,,,,,,,,,1.019,0.625,1.22,2.28,,,
Y2Rh2O7,,,,10.11833,,,,,,,,,,,,,,,,,1.019,0.6,1.22,2.28,,,
Y2Ru2O7,,,,10.13855,,,,,,,,,,,,,,,,,1.019,0.62,1.22,2.2,,,
Y2Sn2O7,,,4.575925,10.465905,,,-3.005540767272727,,,,,,158.9195,85.3572,217.1875,0.2698166666666666,,,,,1.019,0.69,1.22,1.96,,,
Y2Ti2O7,,,7.51764,10.160151108108108,,,-3.74501564060606,,,,,,182.45,100.536,254.807,0.2711179999999999,,,,,1.019,0.605,1.22,1.54,,,
Y2Zr2O7,,,6.58133,10.555443333333336,,,-3.841946783636363,,,,,,160.711,86.5563,220.147,0.2713475,,,,,1.019,0.72,1.22,1.33,,,
Yb2Ir2O6.97,,,,10.104,,,,,,,,,,,,,,,,,0.985,0.625,1.1,2.2,,,
Yb2Ru2O7,,,,10.0752,,,,,,,,,,,,,,,,,0.985,0.62,1.1,2.2,,,
Yb2Sn2O7,,,,10.3803,,,,,,,,,,,,,,,,,0.985,0.69,1.1,1.96,,,
Yb2Ti2O7,,,,10.063069926829268,,,,,,,,,,,,,,,,,0.985,0.605,1.1,1.54,,,
Pr2Ti2O7,,,,,,,,,,,,,,,,,,,,,1.126,0.605,1.13,1.54,,,
Lu2Zr2O7,,,,,,,,,,,,,,,,,,,,,0.977,0.72,1.27,1.33,,,
