Composition,Sample A,Sample B,Lattice Parameter (Angstrom),data_source,compound_type,a_stoich_json,b_stoich_json,Temperature,density_calc,is_single_phase,a_site_n_elements,a_site_entropy,a_site_mean_radius,a_site_radius_variance,a_site_radius_std,a_site_delta,a_site_en_mean,a_site_en_variance,a_site_mean_atomic_num,a_site_mean_molar_mass,b_site_n_elements,b_site_entropy,b_site_mean_radius,b_site_radius_variance,b_site_radius_std,b_site_delta,b_site_en_mean,b_site_en_variance,b_site_mean_atomic_num,b_site_mean_molar_mass,a_b_radius_ratio,total_entropy,total_delta,phonon_scattering_factor,n_total_elements,site_asymmetry,en_site_contrast,mass_site_contrast,lattice_volume,density_theoretical
Nd2Ir2O7,Nd,Ir,10.198,notebookLM_literature,pristine,"{""Nd"": 1.0}","{""Ir"": 1.0}",,,0.0,1.0,-0.0,1.109,0.0,0.0,0.0,1.14,0.0,60.0,144.24,1.0,-0.0,0.625,0.0,0.0,0.0,2.2,0.0,77.0,192.22,1.7744,-0.0,0.0,-0.0,2.0,0.0,1.0600000000000003,47.97999999999999,1060.583882392,9.831722409323334
Pr2Ir2O7,Pr,Ir,10.4159,notebookLM_literature,pristine,"{""Pr"": 1.0}","{""Ir"": 1.0}",,,0.0,1.0,-0.0,1.126,0.0,0.0,0.0,1.13,0.0,59.0,140.91,1.0,-0.0,0.625,0.0,0.0,0.0,2.2,0.0,77.0,192.22,1.8015999999999999,-0.0,0.0,-0.0,2.0,0.0,1.0700000000000003,51.31,1130.031123691679,9.14920882904488
Bi2Ir2O7,Bi,Ir,10.3256,notebookLM_literature,pristine,"{""Bi"": 1.0}","{""Ir"": 1.0}",,,0.0,1.0,-0.0,1.17,0.0,0.0,0.0,2.02,0.0,83.0,208.98,1.0,-0.0,0.625,0.0,0.0,0.0,2.2,0.0,77.0,192.22,1.8719999999999999,-0.0,0.0,-0.0,2.0,0.0,0.18000000000000016,16.75999999999999,1100.894979401216,11.034167239502716
Gd2Zr2O7,Gd,Zr,10.53931,notebookLM_literature,pristine,"{""Gd"": 1.0}","{""Zr"": 1.0}",,,0.0,1.0,-0.0,1.053,0.0,0.0,0.0,1.2,0.0,64.0,157.25,1.0,-0.0,0.72,0.0,0.0,0.0,1.33,0.0,40.0,91.22,1.4625,-0.0,0.0,-0.0,2.0,0.0,0.13000000000000012,66.03,1170.6755194419536,6.910145659495157
Gadolinium thorium zirconium aluminium oxide (1.925/0.075/1.925/0.075/7),"Al,Gd","Th,Zr",10.527,icsd_literature,high_entropy,"{""Gd"": 0.9625, ""Al"": 0.0375}","{""Th"": 0.0375, ""Zr"": 0.9625}",298.0,6.94,1.0,2.0,1.3295412524860564,1.038825,0.0051572193749999965,0.07181378262562137,0.06912981746263455,1.215375,0.006067359375000004,62.0875,152.364875,2.0,1.3295412524860564,0.732375,0.003930609375000001,0.062694572133479,0.08560446783885166,1.3288750000000003,3.2484375000000056e-05,41.875,96.50075,1.4184331797235024,2.6590825049721127,0.1547342853014862,0.4114512309645455,4.0,0.0,0.11350000000000016,55.864125000000016,1166.5782331829998,6.941713078014284
Gadolinium thorium zirconium aluminium oxide (1.925/0.075/1.925/0.075/7),"Al,Gd","Th,Zr",10.59,icsd_literature,high_entropy,"{""Gd"": 0.9625, ""Al"": 0.0375}","{""Th"": 0.0375, ""Zr"": 0.9625}",873.0,6.82,1.0,2.0,1.3295412524860564,1.038825,0.0051572193749999965,0.07181378262562137,0.06912981746263455,1.215375,0.006067359375000004,62.0875,152.364875,2.0,1.3295412524860564,0.732375,0.003930609375000001,0.062694572133479,0.08560446783885166,1.3288750000000003,3.2484375000000056e-05,41.875,96.50075,1.4184331797235024,2.6590825049721127,0.1547342853014862,0.4114512309645455,4.0,0.0,0.11350000000000016,55.864125000000016,1187.648379,6.820121194354122
Gadolinium thorium zirconium aluminium oxide (1.9/0.1/1.9/0.1/7),"Al,Gd","Th,Zr",10.531,icsd_literature,high_entropy,"{""Gd"": 0.95, ""Al"": 0.05}","{""Th"": 0.05, ""Zr"": 0.95}",298.0,6.94,1.0,2.0,1.6504557331775846,1.0340999999999998,0.006786989999999997,0.08238319003291872,0.07966656032580867,1.2205,0.007984750000000006,61.449999999999996,150.73649999999998,2.0,1.6504557331775846,0.7364999999999999,0.005172750000000003,0.07192183256842113,0.09765354048665463,1.3285,4.275000000000008e-05,42.5,98.261,1.4040733197556006,3.3009114663551693,0.1773201008124633,0.5853179539871147,4.0,0.0,0.1080000000000001,52.47549999999998,1167.908551291,6.939258628044092
Gadolinium thorium zirconium aluminium oxide (1.9/0.1/1.9/0.1/7),"Al,Gd","Th,Zr",10.583,icsd_literature,high_entropy,"{""Gd"": 0.95, ""Al"": 0.05}","{""Th"": 0.05, ""Zr"": 0.95}",873.0,6.84,1.0,2.0,1.6504557331775846,1.0340999999999998,0.006786989999999997,0.08238319003291872,0.07966656032580867,1.2205,0.007984750000000006,61.449999999999996,150.73649999999998,2.0,1.6504557331775846,0.7364999999999999,0.005172750000000003,0.07192183256842113,0.09765354048665463,1.3285,4.275000000000008e-05,42.5,98.261,1.4040733197556006,3.3009114663551693,0.1773201008124633,0.5853179539871147,4.0,0.0,0.1080000000000001,52.47549999999998,1185.294825287,6.838370460996239
Gadolinium thorium zirconium aluminium oxide (1.85/0.15/1.85/0.15/7),"Al,Gd","Th,Zr",10.537,icsd_literature,high_entropy,"{""Gd"": 0.925, ""Al"": 0.075}","{""Th"": 0.075, ""Zr"": 0.925}",298.0,6.93,1.0,2.0,2.2147204276094903,1.02465,0.009912577499999993,0.09956192796445835,0.09716676715410953,1.23075,0.011661937500000007,60.175000000000004,147.47975000000002,2.0,2.2147204276094903,0.74475,0.007554937500000004,0.08691914346103512,0.11670915536896291,1.32775,6.243750000000011e-05,43.75,101.7815,1.37583081570997,4.429440855218981,0.21387592252307244,0.9473507491713464,4.0,0.0,0.09699999999999998,45.69825000000003,1169.9059241530003,6.931330543285253
Gadolinium thorium zirconium aluminium oxide (1.85/0.15/1.85/0.15/7),"Al,Gd","Th,Zr",10.592,icsd_literature,high_entropy,"{""Gd"": 0.925, ""Al"": 0.075}","{""Th"": 0.075, ""Zr"": 0.925}",873.0,6.83,1.0,2.0,2.2147204276094903,1.02465,0.009912577499999993,0.09956192796445835,0.09716676715410953,1.23075,0.011661937500000007,60.175000000000004,147.47975000000002,2.0,2.2147204276094903,0.74475,0.007554937500000004,0.08691914346103512,0.11670915536896291,1.32775,6.243750000000011e-05,43.75,101.7815,1.37583081570997,4.429440855218981,0.21387592252307244,0.9473507491713464,4.0,0.0,0.09699999999999998,45.69825000000003,1188.3213946880003,6.827612661683702
