Composition,Sample A,Sample B,Oxidation State A,Oxidation State B,Thermal Conductivity (W/m/K),Lattice Parameter (Angstrom),Density,Energy per Atom,Formation Energy per Atom,Enthalpy,Magnetic Moment,Band Gap,Band Gap Type,Valence,Bulk Modulus (VRH),Shear Modulus (VRH),Youngs Modulus (VRH),Poisson Ratio,AEL Debye Temperature,Temperature,Thermal Expansion,Energy Above Hull,Ionic Radius A (Angstrom),Ionic Radius B (Angstrom),Electronegativity A,Electronegativity B,Synthesis Method,compound_type,data_source
Ta1Sn1O6,Sn,Ta,2.0,5.0,6.391612068044907,10.7609,7.58287,-7.931805000000001,,-7.931805000000001,0.0,1.6256499999999998,insulator-indirect,64.0,151.65457365046097,93.08654311340291,229.09507278557263,0.2655157687218152,463.87845243293856,,3.078437093317336e-05,,1.053,0.64,1.96,1.5,DFT,pristine,aflow
Tb1Mo1O6,Tb,Mo,3.0,4.0,4.868011063452735,10.406225,7.32925,-8.160495000000001,,-8.160495000000001,0.363634,0.0,half-metal,68.0,173.01793886407333,91.68532473506802,235.00134170605384,0.2873634422571635,478.00553285535665,,3.492246584050674e-05,,1.04,0.65,1.22,2.16,DFT,pristine,aflow
Tb1Ru1O6,Tb,Ru,3.0,4.0,4.470150049380727,10.2931,7.69849,-7.36279,,-7.36279,0.363626,0.5522,insulator-indirect,76.0,187.2630788812488,89.50780718391435,231.76655714762668,0.2938629781630875,480.56980896118625,,3.394496167401589e-05,,1.04,0.62,1.22,2.2,DFT,pristine,aflow
Tb1Sn1O6,Tb,Sn,3.0,4.0,4.11772,10.614985714285714,7.41058,-7.11238857142857,,-7.11238857142857,0.0,2.226185714285714,insulator-direct,60.0,161.139,86.2893,219.659,0.272806,466.444,,3.76806e-05,,1.04,0.69,1.22,1.96,DFT,pristine,aflow
Tb1Ti1O6,Tb,Ti,3.0,4.0,6.63451,10.251533333333334,6.481346666666667,-8.276925,,-8.276925,0.0,3.29705,insulator-indirect,60.0,184.839,102.449,259.418,0.266086,562.653,,3.09264e-05,,1.04,0.605,1.22,1.54,DFT,pristine,aflow
Mn1Tl1O6,Tl,Mn,3.0,4.0,1.85878,10.090566666666668,8.153730000000001,-5.977430000000001,,-5.977430000000001,0.545614,0.0,half-metal,68.0,155.878,73.5629,190.691,0.29611,431.912,,6.03319e-05,,0.98,0.53,1.62,1.55,DFT,pristine,aflow
Tl1Pt1O6,Tl,Pt,3.0,4.0,2.70535,10.3103,11.0409,-4.97798,,-4.97798,0.0,0.8794,insulator-direct,64.0,171.894,84.9562,218.819,0.287836,390.38,,4.2807e-05,,0.98,0.625,1.62,2.28,DFT,pristine,aflow
Tl1Ru1O6,Tl,Ru,3.0,4.0,4.142934157890771,10.38065,8.584735,-5.575565,,-5.575565,0.3636844999999999,0.0,half-metal,72.0,172.33423830282257,83.59684695523688,215.2855074835466,0.293744279852073,421.0900669527376,,3.8709710225160873e-05,,0.98,0.62,1.62,2.2,DFT,pristine,aflow
Tm1Sn1O6,Tm,Sn,3.0,4.0,4.235597817620851,10.5066,7.87165,-7.30322,,-7.30322,0.36364,1.7741,insulator-direct,60.0,167.95285035503088,86.94350422326461,225.00940359185287,0.27350656003557355,466.4725285748232,,3.787777695524522e-05,,0.994,0.69,1.25,1.96,DFT,pristine,aflow
Y1Hf1O6,Y,Hf,3.0,4.0,6.43897,10.5256,7.36826,-9.69513,,-9.69513,0.0,3.3362,insulator-indirect,56.0,169.083,95.3711,240.833,0.262609,495.957,,2.97851e-05,,1.019,0.71,1.22,1.3,DFT,pristine,aflow
Y1Mn1O6,Y,Mn,3.0,4.0,4.72584,10.05335,5.225435,-8.103265,,-8.103265,0.5453954999999999,0.85655,insulator-indirect,68.0,175.067,103.964,260.355,0.252137,643.793,,4.22069e-05,,1.019,0.53,1.22,1.55,DFT,pristine,aflow
Y1Mo1O6,Y,Mo,3.0,4.0,5.127619653778408,10.397,5.69347,-8.47719,,-8.47719,0.363624,0.0,half-metal,64.0,174.5533741935464,91.23099947228627,234.44815045340542,0.2852363797874611,553.1971129668683,,3.449172451781805e-05,,1.019,0.65,1.22,2.16,DFT,pristine,aflow
Y1Ru1O6,Y,Ru,3.0,4.0,4.75822,10.27845,6.018345,-7.683524999999999,,-7.683524999999999,0.3636395,0.5597000000000001,insulator-indirect,72.0,187.339,88.5913,229.584,0.29575,541.614,,3.32709e-05,,1.019,0.62,1.22,2.2,DFT,pristine,aflow
Y1Sn1O6,Y,Sn,3.0,4.0,4.575925,10.605428571428572,5.8711,-7.430935714285714,,-7.430935714285714,0.0,2.2468285714285714,insulator-direct,56.0,158.9195,85.3572,217.1875,0.272225,521.675,,3.6815e-05,,1.019,0.69,1.22,1.96,DFT,pristine,aflow
Y1Ti1O6,Y,Ti,3.0,4.0,7.51764,10.24053076923077,4.770007692307692,-8.595612307692308,,-8.595612307692308,0.0,3.289776923076924,insulator-indirect,56.0,182.45,100.536,254.807,0.267236,650.523,,2.95668e-05,,1.019,0.605,1.22,1.54,DFT,pristine,aflow
Y1Zr1O6,Y,Zr,3.0,4.0,6.58133,10.605,5.25984,-9.29112,,-9.29112,0.0,2.7011,insulator-direct,56.0,160.711,86.5563,220.147,0.271695,555.027,,2.96307e-05,,1.019,0.72,1.22,1.33,DFT,pristine,aflow
Yb1Ru1O6,Yb,Ru,3.0,4.0,4.472591717655596,10.2521,8.13925,-6.32119,,-6.32119,0.357385,0.0,metal,72.0,180.39834856232022,84.77840584121766,219.7457823025421,0.2936409328617746,469.61332465114583,,3.6087934851965413e-05,,0.985,0.62,1.1,2.2,DFT,pristine,aflow
Yb1Sn1O6,Yb,Sn,3.0,4.0,3.349028055540147,10.5217,7.93136,-6.046,,-6.046,0.181824,0.0,half-metal,56.0,165.20814961210294,77.20879208404399,200.0463713246444,0.28733394171370763,457.74218613002444,,4.425995964999151e-05,,0.985,0.69,1.1,1.96,DFT,pristine,aflow
Yb1Ti1O6,Yb,Ti,3.0,4.0,5.164920785478441,10.13945,7.0584175,-7.2333725,,-7.2333725,-0.090898,0.08335,insulator-direct,56.0,175.17359552710093,88.60727560341391,228.79377348086422,0.28115943972872154,518.8385041768087,,3.58142844393753e-05,,0.985,0.605,1.1,1.54,DFT,pristine,aflow
,,,,
